TAGGER,SPEECH_PART,CLASSIFIER,RATIO,ACC,TF_ACC,TF2_ACC,F1,TF_F1,TF2_F1
wcrf_morf1,all,SVN,0.6,0.5516483516483517,0.5445054945054945,0.554945054945055,0.5516483516483517,0.5445054945054945,0.554945054945055
wcrf_morf1,all,NAIVE BAYES,0.7,0.5677655677655677,0.5131868131868131,0.5282051282051282,0.5677655677655677,0.5131868131868131,0.5282051282051282
wcrf_morf1,all,SVN,0.7,0.5567765567765568,0.5560439560439561,0.5703296703296703,0.5567765567765568,0.5560439560439561,0.5703296703296703
wcrf_morf1,all,NAIVE BAYES,0.8,0.5521978021978022,0.5148351648351648,0.5296703296703297,0.5521978021978022,0.5148351648351648,0.5296703296703297
wcrf_morf1,all,SVN,0.8,0.5615384615384615,0.554945054945055,0.560989010989011,0.5615384615384615,0.554945054945055,0.560989010989011
wcrf_morf1,all,NAIVE BAYES,0.9,0.5747252747252747,0.5384615384615384,0.5340659340659341,0.5747252747252747,0.5384615384615384,0.5340659340659341
wcrf_morf1,all,SVN,0.9,0.5560439560439561,0.5604395604395604,0.5626373626373626,0.5560439560439561,0.5604395604395604,0.5626373626373626
morphodita,verbs,NAIVE BAYES,0.6,0.6239010989010989,0.5153846153846153,0.5824175824175825,0.6239010989010989,0.5153846153846153,0.5824175824175825
morphodita,verbs,SVN,0.6,0.6164835164835165,0.5741758241758241,0.6173076923076923,0.6164835164835165,0.5741758241758241,0.6173076923076923
morphodita,verbs,NAIVE BAYES,0.7,0.6315018315018315,0.5267399267399268,0.5886446886446887,0.6315018315018315,0.5267399267399268,0.5886446886446887
morphodita,verbs,SVN,0.7,0.626007326007326,0.5769230769230769,0.6164835164835165,0.626007326007326,0.5769230769230769,0.6164835164835165
morphodita,verbs,NAIVE BAYES,0.8,0.6423076923076924,0.5373626373626373,0.6016483516483516,0.6423076923076924,0.5373626373626373,0.6016483516483516
morphodita,verbs,SVN,0.8,0.6368131868131868,0.5818681318681319,0.6241758241758242,0.6368131868131868,0.5818681318681319,0.6241758241758242
morphodita,verbs,NAIVE BAYES,0.9,0.6296703296703297,0.5307692307692308,0.5802197802197803,0.6296703296703297,0.5307692307692308,0.5802197802197803
morphodita,verbs,SVN,0.9,0.6164835164835165,0.5725274725274725,0.6197802197802198,0.6164835164835165,0.5725274725274725,0.6197802197802198
morphodita,nouns,NAIVE BAYES,0.6,0.5063186813186813,0.4686813186813187,0.4664835164835165,0.5063186813186813,0.4686813186813187,0.4664835164835165
